video_name,tag
train/america tigres (falta).avi,Falta
train/chivas america (falta).avi,Falta
train/chivas america (falta.).avi,Falta
train/chivas america (no falta).avi,No Falta
train/chivas america (no falta.).avi,No Falta
train/chivas america (no falta..).avi,No Falta
train/chivas atlas (no falta).avi,No Falta
train/Chivas atlas(Falta.).avi,Falta
train/chivas monterrey (falta).avi,Falta
train/chivas pachuca (no falta).avi,No Falta
train/chivas pachuca (no falta.).avi,No Falta
train/chivas pachuca (no falta..).avi,No Falta
train/chivas pachuca (no falta...).avi,No Falta
train/chivas queretaro (no falta).avi,No Falta
train/chivas queretaro (no falta.).avi,No Falta
train/Chivas queretaro (no falta..).avi,No Falta
train/chivas queretaro (no falta...).avi,No Falta
train/chivas queretaro (no falta....).avi,No Falta
train/chivas queretaro (no falta.....).avi,No Falta
train/chivas queretaro (no falta......).avi,No Falta
train/cruz azul puebla (falta).avi,Falta
train/cruz azul puebla (falta.).avi,Falta
train/cruz azul pumas (falta).avi,Falta
train/cruz azul tijuana (falta).avi,Falta
train/Cruz azul tijuana (no falta).avi,No Falta
train/cruz azul tijuana (no falta.).avi,No Falta
train/Falta 1.avi,Falta
train/Falta 10.avi,Falta
train/Falta 11.avi,Falta
train/Falta 12.avi,Falta
train/Falta 13.avi,Falta
train/Falta 14.avi,Falta
train/Falta 15.avi,Falta
train/Falta 16.avi,Falta
train/Falta 17.avi,Falta
train/Falta 18.avi,Falta
train/Falta 19.avi,Falta
train/Falta 2.avi,Falta
train/Falta 20.avi,Falta
train/Falta 21.avi,Falta
train/Falta 22.avi,Falta
train/Falta 23.avi,Falta
train/Falta 24.avi,Falta
train/Falta 25.avi,Falta
train/Falta 26.avi,Falta
train/Falta 27.avi,Falta
train/Falta 28.avi,Falta
train/Falta 29.avi,Falta
train/Falta 3.avi,Falta
train/Falta 30.avi,Falta
train/Falta 31.avi,Falta
train/Falta 32.avi,Falta
train/Falta 33.avi,Falta
train/Falta 34.avi,Falta
train/Falta 35.avi,Falta
train/Falta 36.avi,Falta
train/Falta 37.avi,Falta
train/Falta 4.avi,Falta
train/Falta 5.avi,Falta
train/Falta 6.avi,Falta
train/Falta 7.avi,Falta
train/Falta 8.avi,Falta
train/Falta 9.avi,Falta
train/Falta1.avi,Falta
train/Falta10.avi,Falta
train/Falta11.avi,Falta
train/Falta12.avi,Falta
train/Falta13.avi,Falta
train/Falta14.avi,Falta
train/Falta15.avi,Falta
train/Falta16.avi,Falta
train/Falta17.avi,Falta
train/Falta18.avi,Falta
train/Falta19.avi,Falta
train/Falta2.avi,Falta
train/Falta20.avi,Falta
train/Falta21.avi,Falta
train/Falta22.avi,Falta
train/Falta23.avi,Falta
train/Falta24.avi,Falta
train/Falta25.avi,Falta
train/Falta26.avi,Falta
train/Falta27.avi,Falta
train/Falta28.avi,Falta
train/Falta29.avi,Falta
train/Falta3.avi,Falta
train/Falta30.avi,Falta
train/Falta31.avi,Falta
train/Falta32.avi,Falta
train/Falta33.avi,Falta
train/Falta34.avi,Falta
train/Falta35.avi,Falta
train/Falta4.avi,Falta
train/Falta5.avi,Falta
train/Falta6.avi,Falta
train/Falta7.avi,Falta
train/Falta8.avi,Falta
train/Falta9.avi,Falta
train/Falta_inglaterra (1).avi,Falta
train/Falta_inglaterra (10).avi,Falta
train/Falta_inglaterra (11).avi,Falta
train/Falta_inglaterra (12).avi,Falta
train/Falta_inglaterra (13).avi,Falta
train/Falta_inglaterra (14).avi,Falta
train/Falta_inglaterra (15).avi,Falta
train/Falta_inglaterra (16).avi,Falta
train/Falta_inglaterra (17).avi,Falta
train/Falta_inglaterra (18).avi,Falta
train/Falta_inglaterra (19).avi,Falta
train/Falta_inglaterra (2).avi,Falta
train/Falta_inglaterra (20).avi,Falta
train/Falta_inglaterra (21).avi,Falta
train/Falta_inglaterra (22).avi,Falta
train/Falta_inglaterra (23).avi,Falta
train/Falta_inglaterra (24).avi,Falta
train/Falta_inglaterra (25).avi,Falta
train/Falta_inglaterra (26).avi,Falta
train/Falta_inglaterra (27).avi,Falta
train/Falta_inglaterra (28).avi,Falta
train/Falta_inglaterra (29).avi,Falta
train/Falta_inglaterra (3).avi,Falta
train/Falta_inglaterra (30).avi,Falta
train/Falta_inglaterra (4).avi,Falta
train/Falta_inglaterra (5).avi,Falta
train/Falta_inglaterra (6).avi,Falta
train/Falta_inglaterra (7).avi,Falta
train/Falta_inglaterra (8).avi,Falta
train/Falta_inglaterra (9).avi,Falta
train/juarez tijuana (falta).avi,Falta
train/juarez tijuana (no falta).avi,No Falta
train/leon juarez ( falta).avi,Falta
train/leon monterrey (falta).avi,Falta
train/leon monterrey (no falta).avi,No Falta
train/leon monterrey (no falta.).avi,No Falta
train/leon monterrey (no falta..).avi,No Falta
train/leon queretaro (falta).avi,Falta
